MIN_SUPPORT=20, MIN_CONFIDENCE=60
calc_for_portion(i_start=0, i_finish=100, 2020-09-25 18:12:16.225975
calc_for_portion(i_start=600, i_finish=700, 2020-09-25 18:12:16.240507
calc_for_portion(i_start=1200, i_finish=1300, 2020-09-25 18:12:16.267272
calc_for_portion(i_start=1800, i_finish=1900, 2020-09-25 18:12:16.295959
calc_for_portion(i_start=2400, i_finish=2500, 2020-09-25 18:12:16.320251
calc_for_portion(i_start=3000, i_finish=3100, 2020-09-25 18:12:16.345708
calc_for_portion(i_start=3100, i_finish=3200, 2020-09-25 18:22:47.101758
calc_for_portion(i_start=1900, i_finish=2000, 2020-09-25 18:22:48.941389
calc_for_portion(i_start=1300, i_finish=1400, 2020-09-25 18:22:57.184500
calc_for_portion(i_start=2500, i_finish=2600, 2020-09-25 18:23:03.885402
calc_for_portion(i_start=700, i_finish=800, 2020-09-25 18:23:20.008933
calc_for_portion(i_start=100, i_finish=200, 2020-09-25 18:23:30.442939
calc_for_portion(i_start=3200, i_finish=3300, 2020-09-25 18:32:16.390623
calc_for_portion(i_start=2000, i_finish=2100, 2020-09-25 18:33:23.259725
calc_for_portion(i_start=1400, i_finish=1500, 2020-09-25 18:33:50.734078
calc_for_portion(i_start=2600, i_finish=2700, 2020-09-25 18:33:57.874120
calc_for_portion(i_start=800, i_finish=900, 2020-09-25 18:34:00.194921
calc_for_portion(i_start=200, i_finish=300, 2020-09-25 18:34:53.651942
calc_for_portion(i_start=3300, i_finish=3400, 2020-09-25 18:42:34.194694
calc_for_portion(i_start=2100, i_finish=2200, 2020-09-25 18:43:39.331675
calc_for_portion(i_start=2700, i_finish=2800, 2020-09-25 18:44:17.149429
calc_for_portion(i_start=1500, i_finish=1600, 2020-09-25 18:44:33.884932
calc_for_portion(i_start=900, i_finish=1000, 2020-09-25 18:44:48.337629
calc_for_portion(i_start=300, i_finish=400, 2020-09-25 18:46:06.293378
calc_for_portion(i_start=3400, i_finish=3500, 2020-09-25 18:52:40.423479
calc_for_portion(i_start=2200, i_finish=2300, 2020-09-25 18:53:37.321652
calc_for_portion(i_start=2800, i_finish=2900, 2020-09-25 18:54:29.467346
calc_for_portion(i_start=1000, i_finish=1100, 2020-09-25 18:55:34.167558
calc_for_portion(i_start=1600, i_finish=1700, 2020-09-25 18:56:26.751710
calc_for_portion(i_start=400, i_finish=500, 2020-09-25 18:56:44.168887
calc_for_portion(i_start=3500, i_finish=3600, 2020-09-25 19:02:37.873668
calc_for_portion(i_start=2900, i_finish=3000, 2020-09-25 19:04:16.464448
calc_for_portion(i_start=2300, i_finish=2400, 2020-09-25 19:04:38.145815
calc_for_portion(i_start=1100, i_finish=1200, 2020-09-25 19:06:05.201855
calc_for_portion(i_start=1700, i_finish=1800, 2020-09-25 19:06:33.450274
calc_for_portion(i_start=500, i_finish=600, 2020-09-25 19:07:20.488582
calc_for_portion(i_start=3600, i_finish=3700, 2020-09-25 19:12:23.567895
calc_for_portion(i_start=4200, i_finish=4300, 2020-09-25 19:14:26.197334
calc_for_portion(i_start=4800, i_finish=4900, 2020-09-25 19:15:42.738198
calc_for_portion(i_start=5400, i_finish=5500, 2020-09-25 19:15:55.017325
calc_for_portion(i_start=6000, i_finish=6100, 2020-09-25 19:16:23.337017
calc_for_portion(i_start=6600, i_finish=6700, 2020-09-25 19:17:20.421213
calc_for_portion(i_start=3700, i_finish=3800, 2020-09-25 19:22:06.692255
calc_for_portion(i_start=4300, i_finish=4400, 2020-09-25 19:24:09.204898
calc_for_portion(i_start=4900, i_finish=5000, 2020-09-25 19:26:13.872712
calc_for_portion(i_start=5500, i_finish=5600, 2020-09-25 19:26:48.682895
calc_for_portion(i_start=6100, i_finish=6200, 2020-09-25 19:26:49.980492
calc_for_portion(i_start=6700, i_finish=6800, 2020-09-25 19:27:25.581030
calc_for_portion(i_start=3800, i_finish=3900, 2020-09-25 19:31:58.885646
calc_for_portion(i_start=4400, i_finish=4500, 2020-09-25 19:33:37.352134
calc_for_portion(i_start=6200, i_finish=6300, 2020-09-25 19:36:30.464554
calc_for_portion(i_start=5000, i_finish=5100, 2020-09-25 19:36:39.250181
calc_for_portion(i_start=5600, i_finish=5700, 2020-09-25 19:37:13.646770
calc_for_portion(i_start=6800, i_finish=6900, 2020-09-25 19:37:21.030704
calc_for_portion(i_start=3900, i_finish=4000, 2020-09-25 19:41:46.877654
calc_for_portion(i_start=4500, i_finish=4600, 2020-09-25 19:43:38.862662
calc_for_portion(i_start=5100, i_finish=5200, 2020-09-25 19:46:33.692141
calc_for_portion(i_start=6300, i_finish=6400, 2020-09-25 19:46:45.255992
calc_for_portion(i_start=6900, i_finish=7000, 2020-09-25 19:47:33.769512
calc_for_portion(i_start=5700, i_finish=5800, 2020-09-25 19:48:03.175372
calc_for_portion(i_start=4000, i_finish=4100, 2020-09-25 19:50:45.437228
calc_for_portion(i_start=4600, i_finish=4700, 2020-09-25 19:54:35.993723
calc_for_portion(i_start=6400, i_finish=6500, 2020-09-25 19:56:19.785761
calc_for_portion(i_start=5200, i_finish=5300, 2020-09-25 19:56:45.782946
calc_for_portion(i_start=7000, i_finish=7100, 2020-09-25 19:58:05.700592
calc_for_portion(i_start=5800, i_finish=5900, 2020-09-25 19:58:57.566697
calc_for_portion(i_start=4100, i_finish=4200, 2020-09-25 20:00:51.248988
calc_for_portion(i_start=4700, i_finish=4800, 2020-09-25 20:04:24.990777
calc_for_portion(i_start=7100, i_finish=7200, 2020-09-25 20:04:27.510672
calc_for_portion(i_start=6500, i_finish=6600, 2020-09-25 20:05:58.912995
calc_for_portion(i_start=5300, i_finish=5400, 2020-09-25 20:07:21.943232
calc_for_portion(i_start=7200, i_finish=7300, 2020-09-25 20:07:43.141421
calc_for_portion(i_start=5900, i_finish=6000, 2020-09-25 20:09:30.184106
calc_for_portion(i_start=7800, i_finish=7900, 2020-09-25 20:09:54.576558
calc_for_portion(i_start=7300, i_finish=7400, 2020-09-25 20:10:40.972720
calc_for_portion(i_start=7400, i_finish=7500, 2020-09-25 20:13:56.056514
calc_for_portion(i_start=7900, i_finish=8000, 2020-09-25 20:13:59.147254
calc_for_portion(i_start=8400, i_finish=8500, 2020-09-25 20:14:49.058384
calc_for_portion(i_start=9000, i_finish=9100, 2020-09-25 20:16:15.353653
calc_for_portion(i_start=9600, i_finish=9700, 2020-09-25 20:16:53.289595
calc_for_portion(i_start=7500, i_finish=7600, 2020-09-25 20:17:23.063682
calc_for_portion(i_start=8000, i_finish=8100, 2020-09-25 20:17:57.708932
calc_for_portion(i_start=8500, i_finish=8600, 2020-09-25 20:18:37.511333
calc_for_portion(i_start=9100, i_finish=9200, 2020-09-25 20:20:02.458704
calc_for_portion(i_start=10200, i_finish=10300, 2020-09-25 20:20:04.661558
calc_for_portion(i_start=9700, i_finish=9800, 2020-09-25 20:20:31.860297
calc_for_portion(i_start=8100, i_finish=8200, 2020-09-25 20:21:10.924109
calc_for_portion(i_start=7600, i_finish=7700, 2020-09-25 20:21:56.321232
calc_for_portion(i_start=8600, i_finish=8700, 2020-09-25 20:22:23.831491
calc_for_portion(i_start=10300, i_finish=10400, 2020-09-25 20:23:16.627462
calc_for_portion(i_start=9200, i_finish=9300, 2020-09-25 20:24:12.824321
calc_for_portion(i_start=9800, i_finish=9900, 2020-09-25 20:24:26.991520
calc_for_portion(i_start=8200, i_finish=8300, 2020-09-25 20:24:30.861663
calc_for_portion(i_start=7700, i_finish=7800, 2020-09-25 20:26:05.243454
calc_for_portion(i_start=10400, i_finish=10500, 2020-09-25 20:26:32.412352
calc_for_portion(i_start=9300, i_finish=9400, 2020-09-25 20:27:24.530363
calc_for_portion(i_start=8700, i_finish=8800, 2020-09-25 20:27:27.465799
calc_for_portion(i_start=8300, i_finish=8400, 2020-09-25 20:28:00.395138
calc_for_portion(i_start=9900, i_finish=10000, 2020-09-25 20:28:19.974840
calc_for_portion(i_start=10500, i_finish=10600, 2020-09-25 20:29:55.360294
calc_for_portion(i_start=10800, i_finish=10900, 2020-09-25 20:30:02.093483
calc_for_portion(i_start=9400, i_finish=9500, 2020-09-25 20:30:44.128822
calc_for_portion(i_start=11400, i_finish=11500, 2020-09-25 20:30:58.971181
calc_for_portion(i_start=10000, i_finish=10100, 2020-09-25 20:32:37.227228
calc_for_portion(i_start=8800, i_finish=8900, 2020-09-25 20:32:39.523945
calc_for_portion(i_start=10600, i_finish=10700, 2020-09-25 20:33:27.100536
calc_for_portion(i_start=10900, i_finish=11000, 2020-09-25 20:33:56.109368
calc_for_portion(i_start=9500, i_finish=9600, 2020-09-25 20:33:57.692815
calc_for_portion(i_start=11500, i_finish=11600, 2020-09-25 20:34:22.302856
