MIN_SUPPORT=15, MIN_CONFIDENCE=60
calc_for_portion(i_start=8400, i_finish=8500, 2020-09-26 18:53:56.868031
calc_for_portion(i_start=9000, i_finish=9100, 2020-09-26 19:00:43.241523
calc_for_portion(i_start=7600, i_finish=7700, 2020-09-26 19:02:16.661341
calc_for_portion(i_start=9600, i_finish=9700, 2020-09-26 19:04:17.816937
calc_for_portion(i_start=8100, i_finish=8200, 2020-09-26 19:17:23.488236
calc_for_portion(i_start=8500, i_finish=8600, 2020-09-26 19:26:28.052927
calc_for_portion(i_start=9100, i_finish=9200, 2020-09-26 19:33:26.443920
calc_for_portion(i_start=9700, i_finish=9800, 2020-09-26 19:34:35.025958
calc_for_portion(i_start=10200, i_finish=10300, 2020-09-26 19:37:57.825743
calc_for_portion(i_start=7700, i_finish=7800, 2020-09-26 19:38:25.068975
calc_for_portion(i_start=8200, i_finish=8300, 2020-09-26 19:43:20.679865
calc_for_portion(i_start=8600, i_finish=8700, 2020-09-26 19:58:27.165024
calc_for_portion(i_start=10300, i_finish=10400, 2020-09-26 20:02:24.800826
calc_for_portion(i_start=9800, i_finish=9900, 2020-09-26 20:08:16.981051
calc_for_portion(i_start=9200, i_finish=9300, 2020-09-26 20:10:25.546504
calc_for_portion(i_start=10800, i_finish=10900, 2020-09-26 20:12:09.429474
calc_for_portion(i_start=8300, i_finish=8400, 2020-09-26 20:12:18.591472
calc_for_portion(i_start=10400, i_finish=10500, 2020-09-26 20:27:04.873904
calc_for_portion(i_start=11400, i_finish=11500, 2020-09-26 20:33:45.918740
calc_for_portion(i_start=9300, i_finish=9400, 2020-09-26 20:34:43.608730
calc_for_portion(i_start=9900, i_finish=10000, 2020-09-26 20:41:44.002923
calc_for_portion(i_start=8700, i_finish=8800, 2020-09-26 20:45:29.066090
calc_for_portion(i_start=10900, i_finish=11000, 2020-09-26 20:45:37.140154
calc_for_portion(i_start=10500, i_finish=10600, 2020-09-26 20:53:44.541446
calc_for_portion(i_start=9400, i_finish=9500, 2020-09-26 21:00:40.688042
calc_for_portion(i_start=11500, i_finish=11600, 2020-09-26 21:00:55.226215
calc_for_portion(i_start=10000, i_finish=10100, 2020-09-26 21:19:01.897960
calc_for_portion(i_start=10600, i_finish=10700, 2020-09-26 21:22:09.095897
calc_for_portion(i_start=11000, i_finish=11100, 2020-09-26 21:24:02.984083
calc_for_portion(i_start=9500, i_finish=9600, 2020-09-26 21:25:31.866009
calc_for_portion(i_start=8800, i_finish=8900, 2020-09-26 21:32:30.489930
calc_for_portion(i_start=11600, i_finish=11700, 2020-09-26 21:34:21.231921
calc_for_portion(i_start=11100, i_finish=11200, 2020-09-26 21:50:32.518596
calc_for_portion(i_start=12000, i_finish=12100, 2020-09-26 21:51:16.954890
calc_for_portion(i_start=10700, i_finish=10800, 2020-09-26 21:52:38.083515
calc_for_portion(i_start=10100, i_finish=10200, 2020-09-26 21:54:38.545482
calc_for_portion(i_start=8900, i_finish=9000, 2020-09-26 22:08:57.686947
calc_for_portion(i_start=11200, i_finish=11300, 2020-09-26 22:18:16.990411
calc_for_portion(i_start=12600, i_finish=12700, 2020-09-26 22:22:11.864643
calc_for_portion(i_start=12100, i_finish=12200, 2020-09-26 22:23:08.765621
calc_for_portion(i_start=11700, i_finish=11800, 2020-09-26 22:26:20.283626
calc_for_portion(i_start=13200, i_finish=13300, 2020-09-26 22:28:59.085526
calc_for_portion(i_start=13800, i_finish=13900, 2020-09-26 22:46:29.633796
calc_for_portion(i_start=11300, i_finish=11400, 2020-09-26 22:46:46.858760
calc_for_portion(i_start=12200, i_finish=12300, 2020-09-26 22:48:22.420709
calc_for_portion(i_start=12700, i_finish=12800, 2020-09-26 22:49:13.414442
calc_for_portion(i_start=13300, i_finish=13400, 2020-09-26 23:01:54.626720
calc_for_portion(i_start=11800, i_finish=11900, 2020-09-26 23:03:42.809441
calc_for_portion(i_start=12800, i_finish=12900, 2020-09-26 23:15:52.141577
calc_for_portion(i_start=13900, i_finish=14000, 2020-09-26 23:16:52.389501
calc_for_portion(i_start=12300, i_finish=12400, 2020-09-26 23:18:00.493446
calc_for_portion(i_start=11900, i_finish=12000, 2020-09-26 23:35:10.555881
calc_for_portion(i_start=12900, i_finish=13000, 2020-09-26 23:43:12.489433
calc_for_portion(i_start=13400, i_finish=13500, 2020-09-26 23:43:47.053873
calc_for_portion(i_start=12400, i_finish=12500, 2020-09-26 23:44:05.458589
calc_for_portion(i_start=14000, i_finish=14100, 2020-09-26 23:45:48.607098
calc_for_portion(i_start=12500, i_finish=12600, 2020-09-27 00:10:09.798799
calc_for_portion(i_start=13000, i_finish=13100, 2020-09-27 00:11:47.142670
calc_for_portion(i_start=14100, i_finish=14186, 2020-09-27 00:19:04.671632
calc_for_portion(i_start=13500, i_finish=13600, 2020-09-27 00:37:58.175214
calc_for_portion(i_start=13100, i_finish=13200, 2020-09-27 00:40:12.924547
calc_for_portion(i_start=13600, i_finish=13700, 2020-09-27 01:08:07.392972
calc_for_portion(i_start=13700, i_finish=13800, 2020-09-27 01:42:30.809960
avg.prec.=0.6336155364443815, 2020-09-27 02:12:39.861534
