MIN_SUPPORT=0.3, MIN_CONFIDENCE=0.6
calc_for_portion(i_start=7900, i_finish=7999, 2020-09-25 09:27:41.893812
calc_for_portion(i_start=8500, i_finish=8599, 2020-09-25 09:27:47.847754
calc_for_portion(i_start=9100, i_finish=9199, 2020-09-25 09:27:51.522165
calc_for_portion(i_start=9700, i_finish=9799, 2020-09-25 09:27:56.881073
calc_for_portion(i_start=10300, i_finish=10399, 2020-09-25 09:28:00.232521
calc_for_portion(i_start=7400, i_finish=7499, 2020-09-25 09:28:04.299893
calc_for_portion(i_start=8000, i_finish=8099, 2020-09-25 09:28:27.185878
calc_for_portion(i_start=8600, i_finish=8699, 2020-09-25 09:28:30.208183
calc_for_portion(i_start=9200, i_finish=9299, 2020-09-25 09:28:34.656962
calc_for_portion(i_start=9800, i_finish=9899, 2020-09-25 09:28:41.515805
calc_for_portion(i_start=10400, i_finish=10499, 2020-09-25 09:28:41.543898
calc_for_portion(i_start=7500, i_finish=7599, 2020-09-25 09:28:47.358327
calc_for_portion(i_start=8100, i_finish=8199, 2020-09-25 09:29:09.276098
calc_for_portion(i_start=8700, i_finish=8799, 2020-09-25 09:29:16.713955
calc_for_portion(i_start=9300, i_finish=9399, 2020-09-25 09:29:17.869392
calc_for_portion(i_start=10500, i_finish=10599, 2020-09-25 09:29:25.239124
calc_for_portion(i_start=9900, i_finish=9999, 2020-09-25 09:29:26.742448
calc_for_portion(i_start=7600, i_finish=7699, 2020-09-25 09:29:33.459176
calc_for_portion(i_start=8200, i_finish=8299, 2020-09-25 09:29:51.971816
calc_for_portion(i_start=9400, i_finish=9499, 2020-09-25 09:30:00.014022
calc_for_portion(i_start=8800, i_finish=8899, 2020-09-25 09:30:04.601740
calc_for_portion(i_start=10600, i_finish=10699, 2020-09-25 09:30:08.079665
calc_for_portion(i_start=10000, i_finish=10099, 2020-09-25 09:30:11.571205
calc_for_portion(i_start=7700, i_finish=7799, 2020-09-25 09:30:16.679908
calc_for_portion(i_start=8300, i_finish=8399, 2020-09-25 09:30:33.342727
calc_for_portion(i_start=9500, i_finish=9599, 2020-09-25 09:30:41.488650
calc_for_portion(i_start=8900, i_finish=8999, 2020-09-25 09:30:48.097193
calc_for_portion(i_start=10700, i_finish=10799, 2020-09-25 09:30:49.024888
calc_for_portion(i_start=10100, i_finish=10199, 2020-09-25 09:30:53.791436
calc_for_portion(i_start=10800, i_finish=10899, 2020-09-25 09:30:58.657932
calc_for_portion(i_start=11400, i_finish=11499, 2020-09-25 09:31:14.902916
calc_for_portion(i_start=12000, i_finish=12099, 2020-09-25 09:31:22.153173
calc_for_portion(i_start=12600, i_finish=12699, 2020-09-25 09:31:31.306926
calc_for_portion(i_start=13200, i_finish=13299, 2020-09-25 09:31:33.054944
calc_for_portion(i_start=13800, i_finish=13899, 2020-09-25 09:31:35.930904
calc_for_portion(i_start=10900, i_finish=10999, 2020-09-25 09:31:42.370953
calc_for_portion(i_start=11500, i_finish=11599, 2020-09-25 09:31:57.623835
calc_for_portion(i_start=12100, i_finish=12199, 2020-09-25 09:32:07.156964
calc_for_portion(i_start=12700, i_finish=12799, 2020-09-25 09:32:14.839932
calc_for_portion(i_start=13300, i_finish=13399, 2020-09-25 09:32:18.284153
calc_for_portion(i_start=13900, i_finish=13999, 2020-09-25 09:32:20.866202
calc_for_portion(i_start=11000, i_finish=11099, 2020-09-25 09:32:29.297281
calc_for_portion(i_start=11600, i_finish=11699, 2020-09-25 09:32:41.383684
calc_for_portion(i_start=12200, i_finish=12299, 2020-09-25 09:32:48.000580
calc_for_portion(i_start=12800, i_finish=12899, 2020-09-25 09:32:57.224230
calc_for_portion(i_start=14000, i_finish=14099, 2020-09-25 09:33:02.283477
calc_for_portion(i_start=13400, i_finish=13499, 2020-09-25 09:33:04.881562
calc_for_portion(i_start=11100, i_finish=11199, 2020-09-25 09:33:11.018391
calc_for_portion(i_start=12300, i_finish=12399, 2020-09-25 09:33:30.343120
calc_for_portion(i_start=11700, i_finish=11799, 2020-09-25 09:33:31.398378
calc_for_portion(i_start=12900, i_finish=12999, 2020-09-25 09:33:38.564244
calc_for_portion(i_start=14100, i_finish=14185, 2020-09-25 09:33:47.320021
calc_for_portion(i_start=11200, i_finish=11299, 2020-09-25 09:33:53.234167
calc_for_portion(i_start=13500, i_finish=13599, 2020-09-25 09:33:54.755547
calc_for_portion(i_start=12400, i_finish=12499, 2020-09-25 09:34:11.665110
calc_for_portion(i_start=11800, i_finish=11899, 2020-09-25 09:34:15.919904
calc_for_portion(i_start=13000, i_finish=13099, 2020-09-25 09:34:21.026378
calc_for_portion(i_start=11300, i_finish=11399, 2020-09-25 09:34:34.267317
calc_for_portion(i_start=13600, i_finish=13699, 2020-09-25 09:34:36.765421
calc_for_portion(i_start=12500, i_finish=12599, 2020-09-25 09:34:52.171702
calc_for_portion(i_start=11900, i_finish=11999, 2020-09-25 09:34:54.715444
calc_for_portion(i_start=13100, i_finish=13199, 2020-09-25 09:34:58.696418
calc_for_portion(i_start=13700, i_finish=13799, 2020-09-25 09:35:15.482750
avg.prec.=0.38588467503172136, 2020-09-25 09:35:50.328054
