MIN_SUPPORT=10, MIN_CONFIDENCE=60
calc_for_portion(i_start=0, i_finish=100, 2020-09-27 02:12:39.891900
calc_for_portion(i_start=600, i_finish=700, 2020-09-27 02:12:39.910146
calc_for_portion(i_start=1200, i_finish=1300, 2020-09-27 02:12:39.929048
calc_for_portion(i_start=1800, i_finish=1900, 2020-09-27 02:12:39.951603
calc_for_portion(i_start=2400, i_finish=2500, 2020-09-27 02:12:39.968211
calc_for_portion(i_start=3000, i_finish=3100, 2020-09-27 02:12:39.989044
calc_for_portion(i_start=3600, i_finish=3700, 2020-09-27 02:20:08.650481
calc_for_portion(i_start=4200, i_finish=4300, 2020-09-27 02:22:08.793092
calc_for_portion(i_start=4800, i_finish=4900, 2020-09-27 02:23:25.446575
calc_for_portion(i_start=5400, i_finish=5500, 2020-09-27 02:24:37.100538
calc_for_portion(i_start=6000, i_finish=6100, 2020-09-27 02:25:15.764737
calc_for_portion(i_start=6600, i_finish=6700, 2020-09-27 02:25:43.554749
calc_for_portion(i_start=7200, i_finish=7300, 2020-09-27 02:26:31.901657
calc_for_portion(i_start=7800, i_finish=7900, 2020-09-27 02:26:48.809031
calc_for_portion(i_start=8400, i_finish=8500, 2020-09-27 02:27:24.523442
calc_for_portion(i_start=9000, i_finish=9100, 2020-09-27 02:27:46.180473
calc_for_portion(i_start=9600, i_finish=9700, 2020-09-27 02:28:15.828545
calc_for_portion(i_start=10200, i_finish=10300, 2020-09-27 02:28:42.918529
calc_for_portion(i_start=10800, i_finish=10900, 2020-09-27 02:29:11.308533
calc_for_portion(i_start=11400, i_finish=11500, 2020-09-27 02:29:45.537785
calc_for_portion(i_start=12000, i_finish=12100, 2020-09-27 02:30:03.063599
calc_for_portion(i_start=12600, i_finish=12700, 2020-09-27 02:30:19.079363
calc_for_portion(i_start=13200, i_finish=13300, 2020-09-27 02:30:36.086550
calc_for_portion(i_start=13800, i_finish=13900, 2020-09-27 02:32:29.771267
calc_for_portion(i_start=1900, i_finish=2000, 2020-09-29 02:57:06.191526
calc_for_portion(i_start=2500, i_finish=2600, 2020-09-29 03:42:44.553811
